job_id,arrival_s,start_s,queue_sec,service_sec,gpu_count
run-pipeline-gpu-d4g2l-1314559116#70,0.0,4.0,4.0,75600.0,4
run-pipeline-gpu-8z2pg-3801962406#4,0.0,4.0,4.0,172800.0,1
run-pipeline-gpu-5k6vd-106796021#11,0.0,4.0,4.0,172800.0,3
run-pipeline-gpu-m46vh-3517775556#18,0.0,4.0,4.0,172800.0,2
run-pipeline-gpu-kb27t-3379495359#19,0.0,4.0,4.0,172800.0,1
run-pipeline-gpu-5rxcj-280418497#28,0.0,4.0,4.0,172800.0,8
run-pipeline-gpu-rvpms-439587089#93,0.0,172810.5,172810.5,28800.0,4
run-pipeline-gpu-fsvst-120632241#31,0.0,4.0,4.0,172800.0,4
run-pipeline-gpu-5brzp-577411358#64,0.0,4.0,4.0,172800.0,7
run-pipeline-gpu-9cb4p-1757353259#152,0.0,172810.5,172810.5,172800.0,4
run-pipeline-gpu-7bm6z-4041400377#154,0.0,172810.5,172810.5,172800.0,3
run-pipeline-gpu-9tnd8-1865815998#193,0.0,201615.0,201615.0,172800.0,2
run-pipeline-gpu-btkf5-859327339#202,0.0,241928.5,241928.5,172800.0,3
run-pipeline-gpu-hndcn-327083716#83,0.0,151208.5,151208.5,172800.0,4
run-pipeline-gpu-clhnk-1829672999#172,0.0,172810.5,172810.5,172800.0,5
run-pipeline-gpu-fds9m-4227584090#238,0.0,345615.0,345615.0,172800.0,6
run-pipeline-gpu-swq2n-3049610790#223,0.0,288002.0,288002.0,172800.0,2
run-pipeline-gpu-24kd7-1782892583#253,0.0,518415.0,518415.0,7200.0,6
run-pipeline-gpu-4tpsr-3420120526#289,0.0,374419.5,374419.5,172800.0,3
run-pipeline-gpu-qzc8m-3277043400#180,0.0,345608.5,345608.5,172800.0,7
run-pipeline-gpu-g45q7-144219255#265,0.0,529926.5,529926.5,172800.0,7
run-pipeline-gpu-jhwg5-3735731488#247,0.0,496813.0,496813.0,172800.0,8
run-pipeline-gpu-5wkkh-1873314351#294,0.0,532819.5,532819.5,172800.0,6
run-pipeline-gpu-plv42-3561070837#303,0.0,691213.0,691213.0,172800.0,5
run-pipeline-gpu-rr99f-3748743721#344,0.0,694802.0,694802.0,172800.0,2
run-pipeline-gpu-qg98v-1803363110#362,0.0,771853.0,771853.0,172800.0,1
run-pipeline-gpu-fkkf5-2466719574#322,0.0,771853.0,771853.0,172800.0,8
run-pipeline-gpu-4vk2f-731439944#171,7200.0,1013779.5,1006579.5,10800.0,4
run-pipeline-gpu-9w7hx-1761467166#366,7200.0,1013779.5,1006579.5,10800.0,2
run-pipeline-gpu-lhkgw-780639444#229,18000.0,1024586.0,1006586.0,3600.0,3
run-pipeline-gpu-4vppl-989390375#262,10800.0,1024586.0,1013786.0,7200.0,6
run-pipeline-gpu-qgdht-488548089#13,3600.0,878426.0,874826.0,172800.0,5
run-pipeline-gpu-jlbhf-3234668083#140,288000.0,1040402.0,752402.0,86400.0,4
run-pipeline-gpu-mdx4s-1168587679#138,18000.0,1024586.0,1006586.0,86400.0,1
run-pipeline-gpu-cwpcn-377226272#34,21600.0,1126806.5,1105206.5,36000.0,8
run-pipeline-gpu-wh6w8-2576682873#304,3600.0,936726.5,933126.5,172800.0,6
run-pipeline-gpu-wt6nc-1871726909#351,0.0,842417.5,842417.5,172800.0,7
run-pipeline-gpu-flk62-1199582912#86,525600.0,1178653.0,653053.0,10800.0,2
run-pipeline-gpu-g4qgc-2834592541#160,3600.0,878426.0,874826.0,172800.0,4
run-pipeline-gpu-5zvpv-747118082#190,21600.0,1029630.5,1008030.5,172800.0,3
run-pipeline-gpu-7bv8q-4225584551#246,547200.0,1188024.0,640824.0,61200.0,2
run-pipeline-gpu-6gscd-4052565872#10,460800.0,1162811.0,702011.0,162000.0,7
run-pipeline-gpu-w8jb5-714416263#240,522000.0,1178653.0,656653.0,172800.0,3
run-pipeline-gpu-72s79-3342733295#206,612000.0,1224030.5,612030.5,79200.0,7
run-pipeline-gpu-82jgn-3511824822#92,442800.0,1145550.5,702750.5,172800.0,4
run-pipeline-gpu-hbbgm-1746798765#205,694800.0,1324817.5,630017.5,172800.0,3
run-pipeline-gpu-2zm9z-2928502513#24,1040400.0,1351459.5,311059.5,169200.0,1
run-pipeline-gpu-zwfd5-1679737841#76,950400.0,1351459.5,401059.5,172800.0,2
run-pipeline-gpu-cgbdn-2299830279#242,529200.0,1188024.0,658824.0,172800.0,6
run-pipeline-gpu-9tzlh-1719621050#84,792000.0,1324817.5,532817.5,158400.0,5
run-pipeline-gpu-9mw92-3717946137#178,694800.0,1310428.5,615628.5,172800.0,4
run-pipeline-gpu-lpcvm-2207421033#197,1216800.0,1382435.0,165635.0,172800.0,4
run-pipeline-gpu-8sq5w-318761477#271,1216800.0,1387475.0,170675.0,172800.0,5
run-pipeline-gpu-q8vbq-2566611081#68,1234800.0,1533628.5,298828.5,172800.0,8
run-pipeline-gpu-29bzk-2417305075#131,1220400.0,1497622.0,277222.0,147600.0,5
run-pipeline-gpu-z4hc6-3142920312#75,1562400.0,1775555.0,213155.0,79200.0,3
run-pipeline-gpu-2bswz-48392133#114,1573200.0,1792826.5,219626.5,64800.0,4
run-pipeline-gpu-lj484-3628558047#79,1238400.0,1656033.0,417633.0,172800.0,7
run-pipeline-gpu-s59wn-196915659#333,1573200.0,1897957.5,324757.5,10800.0,4
run-pipeline-gpu-65995-2587903403#276,1573200.0,1883551.0,310351.0,64800.0,6
run-pipeline-gpu-jms8w-3551857596#192,1508400.0,1775555.0,267155.0,172800.0,3
run-pipeline-gpu-4pbf4-2042923357#55,1648800.0,1843202.0,194402.0,86400.0,1
run-pipeline-gpu-p9zqk-3668461244#219,1648800.0,1948359.5,299559.5,18000.0,3
run-pipeline-gpu-fftp4-1617571953#182,1573200.0,1908762.0,335562.0,64800.0,8
run-pipeline-gpu-5j9bc-3339071754#297,1324800.0,1663202.0,338402.0,172800.0,1
run-pipeline-gpu-gz9bd-2681504703#299,1573200.0,1948355.5,375155.5,64800.0,6
run-pipeline-gpu-htrtb-3514714329#67,1731600.0,2008806.5,277206.5,3600.0,3
run-pipeline-gpu-fcvgd-3368581573#283,1584000.0,1999488.5,415488.5,54000.0,7
run-pipeline-gpu-gmthr-2443386175#301,1731600.0,2053495.0,321895.0,3600.0,6
run-pipeline-gpu-rq2cx-1072744327#343,1731600.0,2053495.0,321895.0,3600.0,4
run-pipeline-gpu-lq5c6-4242495716#41,1742400.0,2060701.5,318301.5,3600.0,7
run-pipeline-gpu-8f9bl-2129316468#183,1242000.0,1733081.5,491081.5,172800.0,7
run-pipeline-gpu-9bdds-2661085165#364,1324800.0,1733081.5,408281.5,172800.0,4
run-pipeline-gpu-82jbf-1091556461#251,1663200.0,2013160.0,349960.0,79200.0,6
run-pipeline-gpu-qbd6p-1169999936#179,1800000.0,2092364.5,292364.5,39600.0,5
run-pipeline-gpu-5nwn5-2647425578#176,1609200.0,1999488.5,390288.5,97200.0,5
run-pipeline-gpu-jbthq-390385068#313,1800000.0,2135573.0,335573.0,39600.0,5
run-pipeline-gpu-z69vt-1590214906#127,1746000.0,2060701.5,314701.5,86400.0,2
run-pipeline-gpu-cj2dp-922712330#97,1753200.0,2064306.0,311106.0,172800.0,4
run-pipeline-gpu-7956g-818070845#98,1753200.0,2078688.0,325488.0,172800.0,5
run-pipeline-gpu-5bpbm-3559724633#264,1800000.0,2131969.0,331969.0,172800.0,4
run-pipeline-gpu-x5md5-3046812994#145,1836000.0,2191019.5,355019.5,86400.0,2
run-pipeline-gpu-p468s-2343969592#99,1753200.0,2078688.0,325488.0,172800.0,7
