job_id,arrival_s,start_s,queue_sec,service_sec,gpu_count
run-pipeline-gpu-8z2pg-3801962406#4,0.0,4.0,4.0,172800.0,1
run-pipeline-gpu-5k6vd-106796021#11,0.0,4.0,4.0,172800.0,3
run-pipeline-gpu-m46vh-3517775556#18,0.0,4.0,4.0,172800.0,2
run-pipeline-gpu-kb27t-3379495359#19,0.0,4.0,4.0,172800.0,1
run-pipeline-gpu-5rxcj-280418497#28,0.0,4.0,4.0,172800.0,8
run-pipeline-gpu-qg98v-1803363110#362,0.0,4.0,4.0,172800.0,1
run-pipeline-gpu-d4g2l-1314559116#70,0.0,172810.5,172810.5,75600.0,4
run-pipeline-gpu-mdx4s-1168587679#138,18000.0,172810.5,154810.5,86400.0,1
run-pipeline-gpu-fsvst-120632241#31,0.0,172810.5,172810.5,172800.0,4
run-pipeline-gpu-5brzp-577411358#64,0.0,172810.5,172810.5,172800.0,7
run-pipeline-gpu-rvpms-439587089#93,0.0,345617.0,345617.0,28800.0,4
run-pipeline-gpu-hndcn-327083716#83,0.0,248415.0,248415.0,172800.0,4
run-pipeline-gpu-4vk2f-731439944#171,7200.0,421219.5,414019.5,10800.0,4
run-pipeline-gpu-9w7hx-1761467166#366,7200.0,432024.0,424824.0,10800.0,2
run-pipeline-gpu-lhkgw-780639444#229,18000.0,442828.5,424828.5,3600.0,3
run-pipeline-gpu-9cb4p-1757353259#152,0.0,345617.0,345617.0,172800.0,4
run-pipeline-gpu-7bm6z-4041400377#154,0.0,345617.0,345617.0,172800.0,3
run-pipeline-gpu-flk62-1199582912#86,525600.0,525602.0,2.0,10800.0,2
run-pipeline-gpu-clhnk-1829672999#172,0.0,374421.5,374421.5,172800.0,5
run-pipeline-gpu-7bv8q-4225584551#246,547200.0,547228.0,28.0,61200.0,2
run-pipeline-gpu-qzc8m-3277043400#180,0.0,518423.5,518423.5,172800.0,7
run-pipeline-gpu-9tnd8-1865815998#193,0.0,518423.5,518423.5,172800.0,2
run-pipeline-gpu-btkf5-859327339#202,0.0,547228.0,547228.0,172800.0,3
run-pipeline-gpu-swq2n-3049610790#223,0.0,547228.0,547228.0,172800.0,2
run-pipeline-gpu-fds9m-4227584090#238,0.0,691228.0,691228.0,172800.0,6
run-pipeline-gpu-24kd7-1782892583#253,0.0,864032.5,864032.5,7200.0,6
run-pipeline-gpu-jhwg5-3735731488#247,0.0,720032.5,720032.5,172800.0,8
run-pipeline-gpu-g45q7-144219255#265,0.0,871237.0,871237.0,172800.0,7
run-pipeline-gpu-4tpsr-3420120526#289,0.0,892839.0,892839.0,172800.0,3
run-pipeline-gpu-5wkkh-1873314351#294,0.0,892839.0,892839.0,172800.0,6
run-pipeline-gpu-plv42-3561070837#303,0.0,1044041.5,1044041.5,172800.0,5
run-pipeline-gpu-2zm9z-2928502513#24,1040400.0,1065645.5,25245.5,169200.0,1
run-pipeline-gpu-fkkf5-2466719574#322,0.0,1065645.5,1065645.5,172800.0,8
run-pipeline-gpu-rr99f-3748743721#344,0.0,1065645.5,1065645.5,172800.0,2
run-pipeline-gpu-wt6nc-1871726909#351,0.0,1238452.0,1238452.0,172800.0,7
run-pipeline-gpu-qgdht-488548089#13,3600.0,1238452.0,1234852.0,172800.0,5
run-pipeline-gpu-g4qgc-2834592541#160,3600.0,1238452.0,1234852.0,172800.0,4
run-pipeline-gpu-4vppl-989390375#262,10800.0,1411258.5,1400458.5,7200.0,6
run-pipeline-gpu-jlbhf-3234668083#140,288000.0,1418463.0,1130463.0,86400.0,4
run-pipeline-gpu-s59wn-196915659#333,1573200.0,1573202.0,2.0,10800.0,4
run-pipeline-gpu-wh6w8-2576682873#304,3600.0,1411258.5,1407658.5,172800.0,6
run-pipeline-gpu-5zvpv-747118082#190,21600.0,1411258.5,1389658.5,172800.0,3
run-pipeline-gpu-5j9bc-3339071754#297,1324800.0,1411258.5,86458.5,172800.0,1
run-pipeline-gpu-cwpcn-377226272#34,21600.0,1584065.0,1562465.0,36000.0,8
run-pipeline-gpu-4pbf4-2042923357#55,1648800.0,1648802.0,2.0,86400.0,1
run-pipeline-gpu-82jgn-3511824822#92,442800.0,1584065.0,1141265.0,172800.0,4
run-pipeline-gpu-w8jb5-714416263#240,522000.0,1584065.0,1062065.0,172800.0,3
run-pipeline-gpu-p9zqk-3668461244#219,1648800.0,1756871.5,108071.5,18000.0,3
run-pipeline-gpu-htrtb-3514714329#67,1731600.0,1774876.0,43276.0,3600.0,3
run-pipeline-gpu-6gscd-4052565872#10,460800.0,1620069.5,1159269.5,162000.0,7
run-pipeline-gpu-72s79-3342733295#206,612000.0,1782076.0,1170076.0,79200.0,7
run-pipeline-gpu-z4hc6-3142920312#75,1562400.0,1782076.0,219676.0,79200.0,3
run-pipeline-gpu-cgbdn-2299830279#242,529200.0,1756871.5,1227671.5,172800.0,6
run-pipeline-gpu-z69vt-1590214906#127,1746000.0,1929678.0,183678.0,86400.0,2
run-pipeline-gpu-9mw92-3717946137#178,694800.0,1861282.5,1166482.5,172800.0,4
run-pipeline-gpu-hbbgm-1746798765#205,694800.0,1861282.5,1166482.5,172800.0,3
run-pipeline-gpu-9tzlh-1719621050#84,792000.0,1929678.0,1137678.0,158400.0,5
run-pipeline-gpu-zwfd5-1679737841#76,950400.0,1929678.0,979278.0,172800.0,2
run-pipeline-gpu-x5md5-3046812994#145,1836000.0,2102482.5,266482.5,86400.0,2
