time_s,used_gpu,total_gpu,alloc_pct
651507.0,8,80,10.0
726051.0,12,80,15.0
740189.0,20,80,25.0
824311.5,12,80,15.0
877980.0,28,80,35.0
887700.0,30,80,37.5
898855.5,26,80,32.5
907426.0,42,80,52.5
907520.0,58,80,72.5
912993.5,50,80,62.5
934855.0,51,80,63.75
938030.0,59,80,73.75
939494.0,67,80,83.75
1030805.0,75,80,93.75
1050784.5,59,80,73.75
1060504.5,57,80,71.25
1075288.0,57,80,71.25
1076570.0,57,80,71.25
1080230.5,41,80,51.25
1080230.5,73,80,91.25
1080324.5,57,80,71.25
1089478.0,73,80,91.25
1092967.0,77,80,96.25
1097311.0,77,80,96.25
1107659.5,76,80,95.0
1107659.5,80,80,100.0
1110834.5,72,80,90.0
1112298.5,64,80,80.0
1153903.0,72,80,90.0
1161024.0,72,80,90.0
1161705.0,72,80,90.0
1162228.0,72,80,90.0
1162231.0,72,80,90.0
1164348.0,72,80,90.0
1165183.0,72,80,90.0
1165256.0,72,80,90.0
1168055.0,72,80,90.0
1169027.0,72,80,90.0
1169860.0,72,80,90.0
1170000.0,72,80,90.0
1176123.0,72,80,90.0
1180735.0,72,80,90.0
1180763.0,72,80,90.0
1182303.0,72,80,90.0
1182317.0,72,80,90.0
1182352.0,72,80,90.0
1182368.0,72,80,90.0
1182381.0,72,80,90.0
1183727.0,72,80,90.0
1184966.0,72,80,90.0
1185593.0,72,80,90.0
1186665.0,72,80,90.0
1186681.0,73,80,91.25
1187518.0,73,80,91.25
1188852.0,73,80,91.25
1189461.0,73,80,91.25
1194064.0,73,80,91.25
1195252.0,74,80,92.5
1195643.0,74,80,92.5
1195932.0,74,80,92.5
1196276.0,74,80,92.5
1196826.0,74,80,92.5
1197621.0,76,80,95.0
1198327.0,77,80,96.25
1198965.0,78,80,97.5
1198997.0,79,80,98.75
1199107.0,80,80,100.0
1203609.5,72,80,90.0
1203609.5,72,80,90.0
1203798.0,72,80,90.0
1204987.0,72,80,90.0
1205948.0,72,80,90.0
1208911.0,72,80,90.0
1209442.0,76,80,95.0
1210061.0,80,80,100.0
1215589.0,72,80,90.0
1215589.0,72,80,90.0
1217103.0,68,80,85.0
1217103.0,68,80,85.0
1224383.0,68,80,85.0
1224543.0,68,80,85.0
1226632.0,68,80,85.0
1226672.0,68,80,85.0
1226793.5,67,80,83.75
1226793.5,67,80,83.75
1227154.0,67,80,83.75
1227592.0,67,80,83.75
1227892.0,67,80,83.75
1228073.0,67,80,83.75
1229577.0,67,80,83.75
1229873.5,66,80,82.5
1229873.5,66,80,82.5
1229883.0,66,80,82.5
1231154.0,66,80,82.5
1231261.0,66,80,82.5
1231298.0,66,80,82.5
1231551.0,66,80,82.5
1231580.0,66,80,82.5
1231873.0,66,80,82.5
1232158.0,66,80,82.5
1232186.0,66,80,82.5
1232387.0,66,80,82.5
1232404.0,66,80,82.5
1232430.0,66,80,82.5
1232474.0,66,80,82.5
1232617.0,66,80,82.5
1232630.0,66,80,82.5
1232982.0,66,80,82.5
1233171.0,66,80,82.5
1233258.0,66,80,82.5
1233311.0,66,80,82.5
1233328.0,66,80,82.5
1233408.0,66,80,82.5
1233463.0,66,80,82.5
1233645.0,66,80,82.5
1234000.0,66,80,82.5
1234239.0,66,80,82.5
1234323.0,66,80,82.5
1234419.0,66,80,82.5
1234549.0,66,80,82.5
1234644.0,66,80,82.5
1234702.0,66,80,82.5
1234796.0,66,80,82.5
1234831.0,66,80,82.5
1235124.0,66,80,82.5
1235415.0,66,80,82.5
1235659.0,66,80,82.5
1236632.0,66,80,82.5
1236871.0,66,80,82.5
1237065.0,66,80,82.5
1237182.0,66,80,82.5
1237247.0,66,80,82.5
1237281.0,66,80,82.5
1237345.0,66,80,82.5
1237557.0,66,80,82.5
1237618.0,66,80,82.5
1237623.0,66,80,82.5
1237671.0,66,80,82.5
1237795.0,66,80,82.5
1237823.0,66,80,82.5
1237845.0,66,80,82.5
1238004.0,66,80,82.5
1238071.0,66,80,82.5
1238179.0,66,80,82.5
1239854.0,66,80,82.5
1239878.0,66,80,82.5
1240806.0,66,80,82.5
1240854.0,66,80,82.5
1240957.0,66,80,82.5
1241002.0,66,80,82.5
1241117.0,66,80,82.5
1241143.0,66,80,82.5
1241309.0,66,80,82.5
1241420.0,66,80,82.5
1241459.0,66,80,82.5
1241626.0,66,80,82.5
1241651.0,66,80,82.5
1241691.0,66,80,82.5
1241703.0,66,80,82.5
1241810.0,66,80,82.5
1241973.0,66,80,82.5
1241985.0,66,80,82.5
1241998.0,66,80,82.5
1242466.0,66,80,82.5
1242486.0,66,80,82.5
1242490.0,66,80,82.5
1242818.0,66,80,82.5
1242828.0,66,80,82.5
1242837.0,66,80,82.5
1242981.0,66,80,82.5
1243088.0,66,80,82.5
1243273.0,66,80,82.5
1243375.0,66,80,82.5
1243576.0,66,80,82.5
1243630.0,66,80,82.5
1243765.0,66,80,82.5
1243818.0,66,80,82.5
1243952.0,66,80,82.5
1244045.0,66,80,82.5
1244200.0,66,80,82.5
1244216.0,66,80,82.5
1244248.0,66,80,82.5
1244370.0,66,80,82.5
1244481.0,66,80,82.5
1244545.0,66,80,82.5
1244644.0,66,80,82.5
1244710.0,66,80,82.5
1244729.0,66,80,82.5
1244761.0,66,80,82.5
1244823.0,66,80,82.5
1244991.0,66,80,82.5
1245235.0,66,80,82.5
1245476.0,66,80,82.5
1245728.0,66,80,82.5
1245768.0,66,80,82.5
1245836.0,66,80,82.5
1245861.0,66,80,82.5
1246140.0,66,80,82.5
1246141.0,66,80,82.5
1246204.0,66,80,82.5
1246276.0,66,80,82.5
1246298.0,66,80,82.5
1246307.0,66,80,82.5
1246439.0,66,80,82.5
1246617.0,66,80,82.5
1246824.0,66,80,82.5
1246846.0,66,80,82.5
1246925.0,66,80,82.5
1247181.0,66,80,82.5
1247296.0,66,80,82.5
1247449.0,66,80,82.5
1247466.0,66,80,82.5
1247550.0,66,80,82.5
1248044.0,66,80,82.5
1248337.0,66,80,82.5
1248773.0,66,80,82.5
1248811.0,66,80,82.5
1248870.0,66,80,82.5
1248892.0,66,80,82.5
1249006.0,66,80,82.5
1249070.0,66,80,82.5
1249124.0,66,80,82.5
1249312.0,66,80,82.5
1249358.0,66,80,82.5
1249449.0,66,80,82.5
1249488.0,66,80,82.5
1249651.0,66,80,82.5
1249718.0,67,80,83.75
1249720.0,67,80,83.75
1249826.0,67,80,83.75
1249842.0,67,80,83.75
1249886.0,67,80,83.75
1250190.0,67,80,83.75
1250263.0,67,80,83.75
1250293.0,67,80,83.75
1250416.0,67,80,83.75
1250471.0,67,80,83.75
1250497.0,67,80,83.75
1250542.0,67,80,83.75
1250596.0,67,80,83.75
1250638.0,67,80,83.75
1250682.0,67,80,83.75
1250740.0,67,80,83.75
1250768.0,67,80,83.75
1250954.0,67,80,83.75
1251090.0,67,80,83.75
1251332.0,67,80,83.75
1251698.0,67,80,83.75
1251743.0,67,80,83.75
1251784.0,67,80,83.75
1252100.0,67,80,83.75
1252505.0,67,80,83.75
1252641.0,67,80,83.75
1252699.0,67,80,83.75
1252960.0,67,80,83.75
1253037.0,43,80,53.75
1253037.0,75,80,93.75
1253099.0,79,80,98.75
1253363.0,80,80,100.0
1261713.5,76,80,95.0
1261713.5,80,80,100.0
1262282.5,64,80,80.0
1262282.5,73,80,91.25
1262329.0,72,80,90.0
1262329.0,73,80,91.25
1262337.5,72,80,90.0
1262337.5,73,80,91.25
1262390.0,73,80,91.25
1262474.0,73,80,91.25
1262515.0,73,80,91.25
1262787.0,73,80,91.25
1262885.0,73,80,91.25
1262975.0,73,80,91.25
1263126.0,74,80,92.5
1263165.5,73,80,91.25
1263165.5,73,80,91.25
1263168.0,73,80,91.25
1263614.0,73,80,91.25
1263692.0,73,80,91.25
1263797.0,73,80,91.25
1263911.0,73,80,91.25
1264273.0,73,80,91.25
1264430.0,73,80,91.25
1264551.0,73,80,91.25
1264856.0,73,80,91.25
1265124.0,73,80,91.25
1265171.0,73,80,91.25
1265230.0,73,80,91.25
1265236.0,73,80,91.25
1265273.0,73,80,91.25
1265307.0,73,80,91.25
1265452.0,73,80,91.25
1265485.0,73,80,91.25
1265496.0,73,80,91.25
1265519.0,73,80,91.25
1265782.0,77,80,96.25
1266047.5,73,80,91.25
1266047.5,73,80,91.25
1266186.0,73,80,91.25
1266187.0,73,80,91.25
1266273.0,73,80,91.25
1266345.0,73,80,91.25
1267142.0,73,80,91.25
1267219.0,73,80,91.25
1267262.0,73,80,91.25
1267643.0,73,80,91.25
1267705.0,77,80,96.25
1267721.0,78,80,97.5
1267736.0,79,80,98.75
1267761.5,78,80,97.5
1267761.5,79,80,98.75
1267915.5,78,80,97.5
